"idhod","hodnota","stapro_kod","casz_cis","casz_kod","stavprace_cis","stavprace_kod","oceneni_cis","oceneni_kod","ocisteni_cis","ocisteni_kod","mesic","rok","mesicz","rokz","stapro_txt","casz_txt","stavprace_txt","oceneni_txt","ocisteni_txt"
"1267057191","88.2","5939","7626","C","175","023","7603","P","7604","P","7","2020","7","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267057188","89","5939","7626","C",,,"7603","P","7604","O","7","2020","7","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267062101","86.8","5939","7626","C","175","024","7603","P",,,"7","2020","7","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267036021","93.3","5939","7626","C",,,,,,,"9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","běžné ceny","neočištěno"
"1267028558","98.1","5939","7626","C","175","024",,,,,"9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","běžné ceny","neočištěno"
"1267036018","90.4","5939","7626","C","175","023",,,,,"9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","běžné ceny","neočištěno"
"1267056967","99.1","5939","7626","C","175","024","7603","P","7604","O","9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267064358","90.5","5939","7626","C",,,"7603","P",,,"9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","neočištěno"
"1267042151","95.1","5939","7626","C","175","024","7603","P","7604","P","9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267045175","90.5","5939","7626","C",,,"7603","P","7604","P","9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
